FiscalYear,Town,Admissions,Unduplicated Clients,TownGeo
2014,Plainville,119,71,"Plainville, CT
(41.674474, -72.85835)"
2013,Westbrook,40,26,"Westbrook, CT
(41.283357, -72.441654)"
2015,New London,522,320,"New London, CT
(41.355167, -72.099561)"
2016,Canaan,36,21,"Canaan, CT
(41.963458, -73.334414)"
2014,Westbrook,46,26,"Westbrook, CT
(41.283357, -72.441654)"
2014,Haddam,25,18,"Haddam, CT
(41.477264, -72.512292)"
2013,Montville,123,80,"Montville, CT
(41.45303, -72.136336)"
2013,Hamden,276,199,"Hamden, CT
(41.382918, -72.907743)"
2013,Danbury,432,277,"Danbury, CT
(41.393666, -73.451539)"
2016,Litchfield,64,38,"Litchfield, CT
(41.746861, -73.189234)"
2012,Oxford,51,39,"Oxford, CT
(41.434813, -73.117134)"
2013,Watertown,119,77,"Watertown, CT
(41.606284, -73.11839)"
2012,Plainfield,129,73,"Plainfield, CT
(41.67731, -71.918131)"
2014,Burlington,38,26,"Burlington, CT
(41.769828, -72.962087)"
2013,East Haddam,22,20,"East Haddam, CT
(41.452557, -72.461201)"
2014,Meriden,462,310,"Meriden, CT
(41.537589, -72.8011)"
2013,Canton,17,12,"Canton, CT
(41.824474, -72.896794)"
2012,Derby,84,60,"Derby, CT
(41.322959, -73.089594)"
2012,Salisbury,6,,"Salisbury, CT
(41.983411, -73.422268)"
2013,Greenwich,44,34,"Greenwich, CT
(41.026526, -73.628549)"
2012,Farmington,41,28,"Farmington, CT
(41.72651, -72.824947)"
2014,Suffield,38,23,"Suffield, CT
(41.983549, -72.663124)"
2016,Simsbury,51,29,"Simsbury, CT
(41.875874, -72.801404)"
2015,Wilton,18,7,"Wilton, CT
(41.19444, -73.432397)"
2016,Southbury,84,45,"Southbury, CT
(41.466592, -73.203497)"
2012,East Hampton,78,41,"East Hampton, CT
(41.575581, -72.502526)"
2014,Easton,8,6,"Easton, CT
(41.252848, -73.297472)"
2016,Lisbon,,,"Lisbon, CT
(41.614599, -71.960584)"
2013,South Windsor,61,31,"South Windsor, CT
(41.826827, -72.553262)"
2014,Lebanon,90,59,"Lebanon, CT
(41.636294, -72.212599)"
2012,Norfolk,6,,"Norfolk, CT
(41.993599, -73.201621)"
2014,Colebrook,,,"Colebrook, CT
(41.991381, -73.097592)"
2013,Coventry,54,34,"Coventry, CT
(41.774042, -72.309999)"
2014,Portland,39,31,"Portland, CT
(41.581345, -72.634112)"
2013,New Milford,166,95,"New Milford, CT
(41.576633, -73.408713)"
2013,Plymouth,105,69,"Plymouth, CT
(41.671982, -73.052909)"
2012,Easton,16,10,"Easton, CT
(41.252848, -73.297472)"
2013,Easton,14,10,"Easton, CT
(41.252848, -73.297472)"
2014,Old Lyme,20,13,"Old Lyme, CT
(41.313043, -72.331317)"
2016,Bethel,123,70,"Bethel, CT
(41.371727, -73.407448)"
2015,Warren,17,9,"Warren, CT
(41.744496, -73.348848)"
2014,Trumbull,143,84,"Trumbull, CT
(41.257379, -73.219533)"
2014,East Windsor,66,37,"East Windsor, CT
(41.899986, -72.58032)"
2015,Old Saybrook,27,17,"Old Saybrook, CT
(41.295121, -72.382292)"
2015,Middlefield,30,12,"Middlefield, CT
(41.515997, -72.712263)"
2012,Voluntown,18,9,"Voluntown, CT
(41.573883, -71.862923)"
2012,Stonington,40,26,"Stonington, CT
(41.337685, -71.907182)"
2013,Waterbury,1372,869,"Waterbury, CT
(41.554261, -73.043069)"
2016,Griswold,203,117,"Griswold, CT
(41.614599, -71.960584)"
2014,Newington,111,75,"Newington, CT
(41.698002, -72.723843)"
2014,Washington,12,9,"Washington, CT
(41.631357, -73.310688)"
2015,Stratford,362,226,"Stratford, CT
(41.200888, -73.131323)"
2012,Middlebury,22,17,"Middlebury, CT
(41.529492, -73.127625)"
2015,Salem,27,16,"Salem, CT
(41.487106, -72.274406)"
2012,Burlington,17,12,"Burlington, CT
(41.769828, -72.962087)"
2012,Norwich,435,249,"Norwich, CT
(41.524304, -72.075821)"
2013,Vernon,125,76,"Vernon, CT
(41.818792, -72.479029)"
2013,Prospect,41,27,"Prospect, CT
(41.502629, -72.979046)"
2013,North Stonington,14,7,"North Stonington, CT
(41.43775, -71.879919)"
2014,Griswold,183,100,"Griswold, CT
(41.614599, -71.960584)"
2016,Greenwich,54,35,"Greenwich, CT
(41.026526, -73.628549)"
2013,Wethersfield,67,48,"Wethersfield, CT
(41.712487, -72.663607)"
2012,Durham,16,13,"Durham, CT
(41.485881, -72.681864)"
2016,Marlborough,30,19,"Marlborough, CT
(41.632043, -72.461309)"
2013,New Hartford,31,21,"New Hartford, CT
(41.879454, -72.976047)"
2014,Bristol,613,375,"Bristol, CT
(41.673037, -72.945791)"
2015,Mansfield,51,28,"Mansfield, CT
(41.765926, -72.233779)"
2015,Durham,25,16,"Durham, CT
(41.485881, -72.681864)"
2012,Bethel,79,53,"Bethel, CT
(41.371727, -73.407448)"
2015,Barkhamsted,26,18,"Barkhamsted, CT
(41.927066, -72.911918)"
2016,East Lyme,130,69,"East Lyme, CT
(41.36677, -72.229584)"
2014,Bethel,116,57,"Bethel, CT
(41.371727, -73.407448)"
2015,Missing Town,448,344,"Missing Town, CT
(41.968899, -72.794197)"
2013,Marlborough,31,20,"Marlborough, CT
(41.632043, -72.461309)"
2013,Durham,14,13,"Durham, CT
(41.485881, -72.681864)"
2013,Franklin,,,"Franklin, CT
(41.611549, -72.145949)"
2012,Bethany,18,12,"Bethany, CT
(41.428339, -72.994834)"
2013,Madison,29,21,"Madison, CT
(41.271447, -72.60086)"
2014,Norwich,501,315,"Norwich, CT
(41.524304, -72.075821)"
2015,Bethel,101,58,"Bethel, CT
(41.371727, -73.407448)"
2013,North Canaan,,,"North Canaan, CT
(42.025992, -73.32814)"
2012,Newington,143,80,"Newington, CT
(41.698002, -72.723843)"
2014,Hampton,11,7,"Hampton, CT
(41.73871, -72.067063)"
2016,East Granby,12,10,"East Granby, CT
(41.943168, -72.72611)"
2013,Barkhamsted,20,10,"Barkhamsted, CT
(41.927066, -72.911918)"
2014,South Windsor,55,28,"South Windsor, CT
(41.826827, -72.553262)"
2013,Sprague,35,16,"Sprague, CT
(41.640692, -72.066224)"
2015,Torrington,719,434,"Torrington, CT
(41.812186, -73.101552)"
2013,Killingworth,25,14,"Killingworth, CT
(41.357274, -72.554824)"
2016,Wilton,29,17,"Wilton, CT
(41.19444, -73.432397)"
2013,Groton,161,101,"Groton, CT
(41.343693, -72.07877)"
2015,New Britain,960,571,"New Britain, CT
(41.667528, -72.783437)"
2012,Cornwall,0,0,"Cornwall, CT
(41.844248, -73.33229)"
2012,Beacon Falls,31,24,"Beacon Falls, CT
(41.444336, -73.060658)"
2014,Middlebury,22,16,"Middlebury, CT
(41.529492, -73.127625)"
2012,Chaplin,24,15,"Chaplin, CT
(41.797715, -72.129312)"
2015,Roxbury,18,10,"Roxbury, CT
(41.556245, -73.309401)"
2013,Woodstock,16,14,"Woodstock, CT
(41.950652, -71.977285)"
2013,East Hampton,70,40,"East Hampton, CT
(41.575581, -72.502526)"
2015,Lyme,0,0,"Lyme, CT
(41.3293, -72.306297)"
2016,Southington,314,161,"Southington, CT
(41.600428, -72.878105)"
2014,Thomaston,51,34,"Thomaston, CT
(41.674124, -73.073189)"
2014,Rocky Hill,96,46,"Rocky Hill, CT
(41.667775, -72.636739)"
2014,Brookfield,88,42,"Brookfield, CT
(41.482447, -73.409561)"
2012,Orange,41,29,"Orange, CT
(41.282731, -73.028426)"
2012,Preston,18,14,"Preston, CT
(41.530948, -71.97251)"
2015,Marlborough,39,26,"Marlborough, CT
(41.632043, -72.461309)"
2012,Ansonia,134,85,"Ansonia, CT
(41.34198, -73.078296)"
2014,Middlefield,18,12,"Middlefield, CT
(41.515997, -72.712263)"
2015,Cheshire,97,61,"Cheshire, CT
(41.498834, -72.901448)"
2014,Canaan,24,19,"Canaan, CT
(41.963458, -73.334414)"
2012,Redding,11,9,"Redding, CT
(41.304131, -73.379918)"
2014,North Branford,66,49,"North Branford, CT
(41.324919, -72.770281)"
2016,Stafford,87,50,"Stafford, CT
(41.98469, -72.290196)"
2016,Enfield,305,173,"Enfield, CT
(41.976501, -72.591985)"
2014,Ansonia,131,99,"Ansonia, CT
(41.34198, -73.078296)"
2012,Willington,10,7,"Willington, CT
(41.87481, -72.262753)"
2016,Killingly,215,130,"Killingly, CT
(41.803361, -71.885766)"
2013,Haddam,8,8,"Haddam, CT
(41.477264, -72.512292)"
2016,Haddam,23,15,"Haddam, CT
(41.477264, -72.512292)"
2012,Bloomfield,31,19,"Bloomfield, CT
(41.830957, -72.737425)"
2015,Branford,237,163,"Branford, CT
(41.279802, -72.81404)"
2014,Darien,21,11,"Darien, CT
(41.080002, -73.467371)"
2013,Lisbon,6,,"Lisbon, CT
(41.614599, -71.960584)"
2014,Berlin,80,56,"Berlin, CT
(41.626049, -72.749301)"
2014,Glastonbury,57,38,"Glastonbury, CT
(41.707618, -72.608041)"
2015,Chaplin,35,16,"Chaplin, CT
(41.797715, -72.129312)"
2016,Torrington,856,427,"Torrington, CT
(41.812186, -73.101552)"
2015,East Windsor,55,36,"East Windsor, CT
(41.899986, -72.58032)"
2012,Old Saybrook,25,16,"Old Saybrook, CT
(41.295121, -72.382292)"
2015,Fairfield,118,81,"Fairfield, CT
(41.143322, -73.249812)"
2013,Ledyard,85,48,"Ledyard, CT
(41.445618, -72.018188)"
2013,Goshen,,,"Goshen, CT
(41.831925, -73.225323)"
2014,Colchester,132,68,"Colchester, CT
(41.57348, -72.332129)"
2014,Ridgefield,30,23,"Ridgefield, CT
(41.281456, -73.49843)"
2012,Naugatuck,219,134,"Naugatuck, CT
(41.491113, -73.056564)"
2016,Windsor Locks,70,46,"Windsor Locks, CT
(41.924953, -72.627177)"
2014,Mansfield,70,50,"Mansfield, CT
(41.765926, -72.233779)"
2012,Stratford,249,166,"Stratford, CT
(41.200888, -73.131323)"
2015,Thomaston,74,47,"Thomaston, CT
(41.674124, -73.073189)"
2016,Essex,16,14,"Essex, CT
(41.353832, -72.396436)"
2014,Ashford,17,15,"Ashford, CT
(41.871915, -72.124128)"
2014,Beacon Falls,25,19,"Beacon Falls, CT
(41.444336, -73.060658)"
2016,Suffield,35,24,"Suffield, CT
(41.983549, -72.663124)"
2015,Wethersfield,105,60,"Wethersfield, CT
(41.712487, -72.663607)"
2014,Willington,33,21,"Willington, CT
(41.87481, -72.262753)"
2016,Oxford,65,45,"Oxford, CT
(41.434813, -73.117134)"
2015,Windsor,103,63,"Windsor, CT
(41.852781, -72.64379)"
2013,West Haven,520,394,"West Haven, CT
(41.272336, -72.949817)"
2014,Torrington,579,328,"Torrington, CT
(41.812186, -73.101552)"
2013,Glastonbury,60,39,"Glastonbury, CT
(41.707618, -72.608041)"
2014,Cromwell,58,39,"Cromwell, CT
(41.595859, -72.645562)"
2014,New Hartford,38,26,"New Hartford, CT
(41.879454, -72.976047)"
2015,Bethany,40,22,"Bethany, CT
(41.428339, -72.994834)"
2014,Woodstock,18,12,"Woodstock, CT
(41.950652, -71.977285)"
2016,Farmington,72,35,"Farmington, CT
(41.72651, -72.824947)"
2012,Pomfret,14,7,"Pomfret, CT
(41.897524, -71.962064)"
2016,Thompson,62,34,"Thompson, CT
(41.958546, -71.86272)"
2014,Danbury,585,331,"Danbury, CT
(41.393666, -73.451539)"
2015,Haddam,30,19,"Haddam, CT
(41.477264, -72.512292)"
2016,Barkhamsted,35,21,"Barkhamsted, CT
(41.927066, -72.911918)"
2014,Salem,42,18,"Salem, CT
(41.487106, -72.274406)"
2014,Prospect,51,28,"Prospect, CT
(41.502629, -72.979046)"
2014,Andover,9,7,"Andover, CT
(41.728789, -72.370309)"
2015,Griswold,188,107,"Griswold, CT
(41.614599, -71.960584)"
2013,Pomfret,9,8,"Pomfret, CT
(41.897524, -71.962064)"
2012,Deep River,21,13,"Deep River, CT
(41.385619, -72.435658)"
2015,Monroe,83,46,"Monroe, CT
(41.331612, -73.206797)"
2014,North Haven,107,91,"North Haven, CT
(41.38864, -72.860826)"
2013,Bridgewater,7,,"Bridgewater, CT
(41.535109, -73.366386)"
2013,Torrington,482,277,"Torrington, CT
(41.812186, -73.101552)"
2014,Deep River,36,20,"Deep River, CT
(41.385619, -72.435658)"
2016,Norfolk,10,,"Norfolk, CT
(41.993599, -73.201621)"
2015,Scotland,,,"Scotland, CT
(41.6975, -72.119465)"
2016,Danbury,653,357,"Danbury, CT
(41.393666, -73.451539)"
2012,Eastford,6,,"Eastford, CT
(41.902117, -72.082503)"
2014,Killingly,182,120,"Killingly, CT
(41.803361, -71.885766)"
2013,Redding,21,7,"Redding, CT
(41.304131, -73.379918)"
2012,Brooklyn,38,25,"Brooklyn, CT
(41.788252, -71.949628)"
2014,Fairfield,144,85,"Fairfield, CT
(41.143322, -73.249812)"
2013,New Haven,1534,1072,"New Haven, CT
(41.308252, -72.924161)"
2012,Prospect,62,32,"Prospect, CT
(41.502629, -72.979046)"
2013,Hartford,2201,1253,"Hartford, CT
(41.765775, -72.673356)"
2013,Sharon,36,23,"Sharon, CT
(41.87943, -73.478873)"
2012,Wolcott,105,59,"Wolcott, CT
(41.601588, -72.986414)"
2013,Bethel,84,46,"Bethel, CT
(41.371727, -73.407448)"
2014,Union,,,"Union, CT
(41.99388, -72.155248)"
2015,Sharon,43,31,"Sharon, CT
(41.87943, -73.478873)"
2014,Barkhamsted,14,7,"Barkhamsted, CT
(41.927066, -72.911918)"
2013,East Windsor,31,22,"East Windsor, CT
(41.899986, -72.58032)"
2016,Hamden,239,146,"Hamden, CT
(41.382918, -72.907743)"
2016,Groton,193,123,"Groton, CT
(41.343693, -72.07877)"
2016,Woodbury,32,21,"Woodbury, CT
(41.545058, -73.208654)"
2012,Lisbon,,,"Lisbon, CT
(41.614599, -71.960584)"
2016,Deep River,21,12,"Deep River, CT
(41.385619, -72.435658)"
2015,West Hartford,125,77,"West Hartford, CT
(41.762008, -72.741807)"
2016,New Britain,1106,637,"New Britain, CT
(41.667528, -72.783437)"
2013,Westport,26,16,"Westport, CT
(41.14044, -73.353182)"
2016,Brooklyn,38,27,"Brooklyn, CT
(41.788252, -71.949628)"
2012,Harwinton,13,8,"Harwinton, CT
(41.771487, -73.059941)"
2015,Winchester,190,116,"Winchester, CT
(41.901973, -73.133851)"
2015,Middletown,429,266,"Middletown, CT
(41.544654, -72.651713)"
2016,Lyme,0,0,"Lyme, CT
(41.3293, -72.306297)"
2014,Hartland,7,,"Hartland, CT
(41.991104, -72.997217)"
2015,Franklin,14,7,"Franklin, CT
(41.611549, -72.145949)"
2012,New Fairfield,43,23,"New Fairfield, CT
(41.466074, -73.485613)"
2015,Essex,17,13,"Essex, CT
(41.353832, -72.396436)"
2016,South Windsor,58,35,"South Windsor, CT
(41.826827, -72.553262)"
2013,Middlefield,14,11,"Middlefield, CT
(41.515997, -72.712263)"
2012,Colchester,138,60,"Colchester, CT
(41.57348, -72.332129)"
2014,East Hartford,291,185,"East Hartford, CT
(41.769319, -72.643785)"
2012,Greenwich,61,38,"Greenwich, CT
(41.026526, -73.628549)"
2012,Mansfield,48,37,"Mansfield, CT
(41.765926, -72.233779)"
2014,New Canaan,21,16,"New Canaan, CT
(41.148498, -73.493705)"
2013,Kent,17,11,"Kent, CT
(41.724646, -73.477079)"
2012,Windsor Locks,52,31,"Windsor Locks, CT
(41.924953, -72.627177)"
2015,Hebron,28,18,"Hebron, CT
(41.658069, -72.366324)"
2013,Norwalk,313,191,"Norwalk, CT
(41.11805, -73.412906)"
2013,Missing Town,612,458,"Missing Town, CT
(41.968899, -72.794197)"
2016,Kent,20,17,"Kent, CT
(41.724646, -73.477079)"
2013,Tolland,33,16,"Tolland, CT
(41.872445, -72.369671)"
2014,Plainfield,204,120,"Plainfield, CT
(41.67731, -71.918131)"
2012,Branford,195,133,"Branford, CT
(41.279802, -72.81404)"
2012,Middletown,332,202,"Middletown, CT
(41.544654, -72.651713)"
2012,South Windsor,45,35,"South Windsor, CT
(41.826827, -72.553262)"
2013,Morris,10,6,"Morris, CT
(41.684395, -73.196691)"
2016,Milford,318,194,"Milford, CT
(41.224276, -73.057564)"
2015,Easton,11,9,"Easton, CT
(41.252848, -73.297472)"
2016,East Haddam,54,26,"East Haddam, CT
(41.452557, -72.461201)"
2015,Beacon Falls,49,27,"Beacon Falls, CT
(41.444336, -73.060658)"
2015,New Hartford,26,18,"New Hartford, CT
(41.879454, -72.976047)"
2012,Fairfield,120,71,"Fairfield, CT
(41.143322, -73.249812)"
2016,Brookfield,85,48,"Brookfield, CT
(41.482447, -73.409561)"
2016,Bristol,764,445,"Bristol, CT
(41.673037, -72.945791)"
2015,Waterford,167,93,"Waterford, CT
(41.342158, -72.125831)"
2013,Meriden,397,282,"Meriden, CT
(41.537589, -72.8011)"
2016,New Haven,1746,1132,"New Haven, CT
(41.308252, -72.924161)"
2016,Old Lyme,27,15,"Old Lyme, CT
(41.313043, -72.331317)"
2014,Cheshire,62,47,"Cheshire, CT
(41.498834, -72.901448)"
2015,Putnam,110,70,"Putnam, CT
(41.914993, -71.911904)"
2016,Hartford,2393,1286,"Hartford, CT
(41.765775, -72.673356)"
2015,Eastford,,,"Eastford, CT
(41.902117, -72.082503)"
2015,Avon,27,16,"Avon, CT
(41.809641, -72.830547)"
2013,Essex,21,15,"Essex, CT
(41.353832, -72.396436)"
2016,Thomaston,44,29,"Thomaston, CT
(41.674124, -73.073189)"
2012,Torrington,375,220,"Torrington, CT
(41.812186, -73.101552)"
2014,Sprague,48,28,"Sprague, CT
(41.640692, -72.066224)"
2013,Waterford,116,60,"Waterford, CT
(41.342158, -72.125831)"
2016,Middlebury,45,23,"Middlebury, CT
(41.529492, -73.127625)"
2015,Glastonbury,96,59,"Glastonbury, CT
(41.707618, -72.608041)"
2013,Stafford,59,37,"Stafford, CT
(41.98469, -72.290196)"
2012,Thomaston,33,23,"Thomaston, CT
(41.674124, -73.073189)"
